"","date","tests.roll","reported.roll","est.active","est.active.low","est.active.high","cases.raw","test.raw","positivity.roll","positivity.raw","active"
"1",2021-12-15,NA,NA,NA,NA,NA,13,493,NA,0.026369168356998,NA
"2",2021-12-16,NA,NA,NA,NA,NA,0,601,NA,0,NA
"3",2021-12-17,NA,NA,NA,NA,NA,46,955,NA,0.0481675392670157,NA
"4",2021-12-18,NA,NA,NA,NA,NA,23,1282,NA,0.0179407176287051,NA
"5",2021-12-19,NA,NA,NA,NA,NA,9,1740.66666666667,NA,0.0051704327843738,NA
"6",2021-12-20,NA,NA,NA,NA,NA,9,1740.66666666667,NA,0.0051704327843738,NA
"7",2021-12-21,NA,NA,NA,NA,NA,9,1740.66666666667,NA,0.0051704327843738,NA
"8",2021-12-22,NA,NA,NA,NA,NA,60,2075,NA,0.0289156626506024,64.6428571428571
"9",2021-12-23,NA,NA,NA,NA,NA,100,2461,NA,0.0406338886631451,150.642857142857
"10",2021-12-24,NA,NA,NA,NA,NA,85,2911,NA,0.0291995877705256,261.571428571429
"11",2021-12-25,NA,NA,NA,NA,NA,0,3601,NA,0,400
"12",2021-12-26,NA,NA,NA,NA,NA,0,3367,NA,0,568.357142857143
"13",2021-12-27,NA,NA,NA,NA,NA,357,2517,NA,0.141835518474374,769.357142857143
"14",2021-12-28,2057.92857142857,64.6428571428571,2446.77219575465,3622.00015291762,1306.15749770884,194,3326,0.0290644073909691,0.05832832230908,1006.78571428571
"15",2021-12-29,2205.28571428571,86,2866.29033636758,4202.60592377449,1567.94112018122,312,2556,0.0358998759154357,0.122065727699531,1214.14285714286
"16",2021-12-30,2411.42857142857,110.928571428571,3224.55072148577,4669.35048596594,1815.49772161775,349,3487,0.0430488783325769,0.100086033839977,1430.07142857143
"17",2021-12-31,2616.92857142857,138.428571428571,3609.57042831557,5165.38542824001,2088.54965269273,431,3832,0.0476421900968327,0.112473903966597,1649.85714285714
"18",2022-01-01,2844.57142857143,168.357142857143,4023.51237113321,5691.11707540494,2390.29410940735,442,4469,0.0534252501121337,0.0989035578429179,1870.35714285714
"19",2022-01-02,3053.66666666667,201,4488.04051157541,6277.75573609826,2733.19417803447,466,4668,0.0601865492271193,0.0998286203941731,2090.35714285714
"20",2022-01-03,3243.2619047619,237.428571428571,4959.68106706449,6857.79967570574,3096.81376144459,519,4395,0.0682521423997616,0.118088737201365,2303.92857142857
"21",2022-01-04,3384.28571428571,272,5677.04735091436,7814.96561473439,3576.79244959616,493,3715,0.0773617721287762,0.132705248990579,2536.64285714286
"22",2022-01-05,3565.35714285714,301.928571428571,6148.44621292405,8377.95044659495,3945.98221869133,479,4610,0.0827181216047713,0.103904555314534,2774.5
"23",2022-01-06,3687.14285714286,330.714285714286,6651.96931306979,9017.44825917845,4315.94085365245,503,4166,0.0884399380067557,0.120739318290927,3012.28571428571
"24",2022-01-07,3787.35714285714,358.928571428571,7109.8254638693,9591.20791070759,4660.79957496142,480,4314,0.0943017993611161,0.111265646731572,3245.35714285714
"25",2022-01-08,3850.42857142857,388.357142857143,7383.59681350852,9896.75736842483,4905.73389381234,412,4484,0.100864817074892,0.0918822479928635,3453.35714285714
"26",2022-01-09,3931.64285714286,414.571428571429,7564.72464969017,10076.1354382001,5094.06559470747,367,4504,0.106685040368472,0.0814831261101243,3622.78571428571
"27",2022-01-10,4000.71428571429,470.142857142857,7600.20977903558,10026.545959106,5216.88869903145,1135,3484,0.119823572712971,0.325774971297359,3741.35714285714
"28",2022-01-11,4287.35714285714,509.857142857143,7598.82311610467,9918.46196608966,5323.49759182895,750,7339,0.122956818217163,0.102193759367761,3775.92857142857
"29",2022-01-12,4332.71428571429,539.714285714286,7774.42885604267,10083.1425553743,5517.46808544282,730,3191,0.13057843846408,0.228768411156377,3756.64285714286
"30",2022-01-13,4337.57142857143,563.785714285714,8295.99201980843,10815.5479973842,5861.94055253252,686,3555,0.137212839703761,0.192967651195499,3709.78571428571
"31",2022-01-14,4301.42857142857,566.928571428571,8465.41647537284,10983.0929312536,6040.23224460474,475,3326,0.139380003079053,0.142814191220686,3628.64285714286
"32",2022-01-15,4185.92857142857,557.785714285714,8663.19603329895,11233.3991774343,6203.06081086313,314,2852,0.140179618712994,0.110098176718093,3533.21428571429
"33",2022-01-16,4059.35714285714,533.142857142857,8811.06926539166,11430.2804627757,6317.97299480005,121,2896,0.136033414967396,0.0417817679558011,3437.71428571429
"34",2022-01-17,3952.28571428571,504.714285714286,8695.30575587522,11252.7503312057,6267.5032119301,121,2896,0.130582917164141,0.0417817679558011,3347.69047619048
"35",2022-01-18,3835.14285714286,490.571428571429,7946.39388129158,10149.207567091,5865.37770692872,295,2075,0.131258876143299,0.142168674698795,3212.07142857143
"36",2022-01-19,3612.21428571429,492.857142857143,7553.52671851437,9624.13338285026,5618.01661535095,511,1489,0.14835021822987,0.343183344526528,3044.07142857143
"37",2022-01-20,3502,482.642857142857,7197.98731894707,9144.72539128263,5388.1649908663,360,2623,0.149529368824144,0.137247426610751,2843.35714285714
"38",2022-01-21,3311.92857142857,471.5,6960.37762388233,8864.35627125806,5204.77037348938,324,1653,0.155582341166755,0.196007259528131,2630.85714285714
"39",2022-01-22,3109.71428571429,462.285714285714,6737.33133999057,8587.61923629411,5038.35208824742,283,1653,0.161248171435003,0.171203871748336,2414.5
"40",2022-01-23,2940.38095238095,443.119047619048,6577.51534545073,8396.34004134491,4910.60441347398,98.6666666666667,2133.33333333333,0.158731519569994,0.04625,2199.78571428571
"41",2022-01-24,2843.90476190476,369.095238095238,6445.52599757308,8274.90265946706,4772.47126757582,98.6666666666667,2133.33333333333,0.138765450191611,0.04625,2002.13095238095
"42",2022-01-25,2472.07142857143,322.571428571429,6280.80206128919,8120.53061534357,4601.80526686492,98.6666666666667,2133.33333333333,0.134769467379628,0.04625,1876.39285714286
"43",2022-01-26,2392.57142857143,292.142857142857,6027.6910427216,7853.5753909975,4367.96017302689,304,2078,0.128878474722439,0.146294513955727,1788.89285714286
